Timestamp,Temperature,pH,Turbidity
8/4/2023 23:00,20.018,8.176,2.068
8/4/2023 23:30,19.986,8.175,1.994
8/4/2023 23:00,20.001,8.171,2.03
8/4/2023 23:30,19.983,8.171,1.973
8/4/2023 23:00,19.986,8.171,1.944
8/4/2023 23:00,19.834,8.158,2.124
8/4/2023 23:30,19.829,8.158,1.95
8/5/2023 0:00,19.822,8.159,2.033
8/5/2023 0:30,19.804,8.166,1.995
8/5/2023 1:00,19.77,8.168,1.973
8/5/2023 1:30,19.741,8.167,2.014
8/5/2023 2:00,19.712,8.17,1.845
8/5/2023 2:30,19.711,8.169,1.861
8/5/2023 3:00,19.703,8.17,2.397
8/5/2023 3:30,19.701,8.174,2.34
8/5/2023 4:00,19.652,8.166,3.375
8/5/2023 4:30,19.634,8.168,2.213
8/5/2023 5:00,19.59,8.169,2.074
8/5/2023 5:30,19.585,8.168,2.498
8/5/2023 6:00,19.555,8.161,1.689
8/5/2023 6:30,19.539,8.164,3.742
8/5/2023 7:00,19.371,8.166,2.154
8/5/2023 7:30,19.367,8.162,1.628
8/5/2023 8:00,19.444,8.162,1.899
8/5/2023 8:30,19.451,8.163,1.756
8/5/2023 9:00,19.534,8.159,1.935
8/5/2023 9:30,19.611,8.155,2.145
8/5/2023 10:00,19.623,8.153,2.298
8/5/2023 10:30,19.663,8.155,2.195
8/5/2023 11:00,19.81,8.155,1.988
8/5/2023 11:30,19.849,8.155,2.014
8/5/2023 12:00,19.913,8.159,1.717
8/5/2023 12:30,20.007,8.158,1.684
8/5/2023 13:00,20.21,8.162,1.824
8/5/2023 13:30,20.368,8.164,1.876
8/5/2023 14:00,20.415,8.163,1.836
8/5/2023 14:30,,,
8/5/2023 15:00,20.463,8.167,1.637
8/5/2023 15:30,20.391,8.169,1.681
8/5/2023 16:00,20.37,8.171,1.717
8/5/2023 16:30,20.428,8.171,1.666
8/5/2023 17:00,20.37,8.17,1.606
8/5/2023 17:30,20.344,8.171,1.621
8/5/2023 18:00,20.308,8.172,1.612
8/5/2023 18:30,20.292,8.17,1.728
8/5/2023 19:00,20.286,8.169,1.729
8/5/2023 19:30,20.242,8.162,1.994
8/5/2023 20:00,20.239,8.162,2.089
8/5/2023 20:30,20.231,8.159,2.263
8/5/2023 21:00,20.187,8.154,2.67
8/5/2023 21:30,20.198,8.16,2.432
8/5/2023 22:00,20.197,8.161,2.308
8/5/2023 22:30,20.137,8.159,2.156
8/5/2023 23:00,20.217,8.163,2.074
8/5/2023 23:30,20.147,8.159,2.137
8/6/2023 0:00,20.115,8.161,1.978
8/6/2023 0:30,20.1,8.162,1.968
8/6/2023 1:00,20.058,8.165,1.937
8/6/2023 1:30,19.947,8.163,1.859
8/6/2023 2:00,19.911,8.168,1.727
8/6/2023 2:30,19.844,8.174,1.694
8/6/2023 3:00,19.86,8.163,1.632
8/6/2023 3:30,19.851,8.173,8.774
8/6/2023 4:00,19.875,8.162,1.614
8/6/2023 4:30,19.823,8.181,3.423
8/6/2023 5:00,19.81,8.177,1.699
8/6/2023 5:30,19.806,8.165,1.688
8/6/2023 6:00,19.706,8.168,1.871
8/6/2023 6:30,19.58,8.166,1.618
8/6/2023 7:00,19.72,8.157,1.917
8/6/2023 7:30,19.579,8.164,2.284
8/6/2023 8:00,19.533,8.16,1.906
8/6/2023 8:30,19.592,8.161,1.817
8/6/2023 9:00,19.627,8.16,1.815
8/6/2023 9:30,19.745,8.161,1.812
8/6/2023 10:00,19.943,8.151,1.924
8/6/2023 10:30,19.841,8.157,2.164
8/6/2023 11:00,19.989,8.151,1.822
8/6/2023 11:30,19.689,8.163,1.578
8/6/2023 12:00,19.651,8.162,1.593
8/6/2023 12:30,19.745,8.166,1.625
8/6/2023 13:00,19.834,8.162,1.606
8/6/2023 13:30,19.891,8.163,1.486
8/6/2023 14:00,20.002,8.163,1.523
8/6/2023 14:30,20.111,8.164,1.492
8/6/2023 15:00,20.025,8.166,1.46
8/6/2023 15:30,20.007,8.167,1.519
8/6/2023 16:00,20.137,8.168,1.596
8/6/2023 16:30,20.177,8.168,1.647
8/6/2023 17:00,20.191,8.171,1.784
8/6/2023 17:30,20.162,8.169,1.598
8/6/2023 18:00,20.08,8.168,1.542
8/6/2023 18:30,20.11,8.171,1.721
8/6/2023 19:00,20.097,8.167,1.596
8/6/2023 19:30,20.081,8.173,1.672
8/6/2023 20:00,19.874,8.17,1.528
8/6/2023 20:30,19.934,8.168,1.723
8/6/2023 21:00,19.814,8.173,1.752
8/6/2023 21:30,19.808,8.177,1.932
8/6/2023 22:00,19.876,8.164,1.97
8/6/2023 22:30,19.849,8.171,1.891
8/6/2023 23:00,19.944,8.164,1.97
8/6/2023 23:30,19.964,8.181,2.005
8/7/2023 0:00,19.794,8.17,1.666
8/7/2023 0:30,18.864,8.183,2.158
8/7/2023 1:00,19.387,8.169,1.707
8/7/2023 1:30,19.418,8.165,1.644
8/7/2023 2:00,19.583,8.161,1.592
8/7/2023 2:30,19.338,8.169,1.677
8/7/2023 3:00,18.914,8.179,1.781
8/7/2023 3:30,18.83,8.177,1.786
8/7/2023 4:00,18.599,8.18,1.677
8/7/2023 4:30,18.477,8.18,1.662
8/7/2023 5:00,18.289,8.184,1.71
8/7/2023 5:30,18.281,8.188,2.221
8/7/2023 6:00,18.589,8.177,1.617
8/7/2023 6:30,19.02,8.178,1.695
8/7/2023 7:00,18.585,8.179,1.662
8/7/2023 7:30,18.25,8.181,1.726
8/7/2023 8:00,18.095,8.181,1.645
8/7/2023 8:30,18.177,8.184,1.784
8/7/2023 9:00,18.565,8.182,1.571
8/7/2023 9:30,18.474,8.178,1.627
8/7/2023 10:00,18.8,8.166,1.493
8/7/2023 10:30,19.231,8.185,1.702
8/7/2023 11:00,19.188,8.181,1.683
8/7/2023 11:30,19.086,8.185,1.594
8/7/2023 12:00,19.008,8.185,1.65
8/7/2023 12:30,19.141,8.182,1.585
8/7/2023 13:00,19.212,8.184,1.635
8/7/2023 13:30,19.39,8.178,1.656
8/7/2023 14:00,19.59,8.176,1.502
8/7/2023 14:30,19.729,8.177,1.6
8/7/2023 15:00,19.804,8.177,1.707
8/7/2023 15:30,19.83,8.177,1.815
8/7/2023 16:00,19.816,8.174,1.779
8/7/2023 16:30,19.8,8.176,1.697
8/7/2023 17:00,19.773,8.176,1.633
8/7/2023 17:30,19.728,8.178,1.863
8/7/2023 18:00,19.686,8.179,1.726
